행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
경기도  (4100000000),"877,257","1,323,196","1,530,767","1,924,979","2,156,561","2,343,508","1,977,469","1,014,852","456,810","81,846","1,970"
경기도 수원시 (4111000000),"71,223","110,195","159,601","187,728","181,814","198,684","158,489","74,797","32,510","5,710",144
경기도 수원시 장안구 (4111100000),"13,434","24,979","37,250","35,338","37,593","48,782","40,347","19,990","9,616","1,798",36
경기도 수원시 권선구 (4111300000),"20,587","31,610","44,069","57,393","55,492","60,826","53,031","24,589","9,779","1,664",42
경기도 수원시 팔달구 (4111500000),"10,228","13,105","27,805","32,458","26,214","31,517","27,652","15,107","6,726","1,080",37
경기도 수원시 영통구 (4111700000),"26,974","40,501","50,477","62,539","62,515","57,559","37,459","15,111","6,389","1,168",29
경기도 성남시 (4113000000),"53,874","80,885","102,826","134,199","138,950","148,648","129,538","72,548","31,705","5,741",146
경기도 성남시 수정구 (4113100000),"13,088","16,037","27,407","36,107","33,639","37,750","37,255","21,800","8,529","1,265",30
경기도 성남시 중원구 (4113300000),"9,873","13,860","23,090","30,880","28,185","33,015","33,921","19,048","7,644","1,111",42
경기도 성남시 분당구 (4113500000),"30,913","50,988","52,329","67,212","77,126","77,883","58,362","31,700","15,532","3,365",74
경기도 의정부시 (4115000000),"26,429","39,474","52,559","60,507","66,923","81,084","71,655","39,011","18,690","2,959",55
경기도 안양시 (4117000000),"35,114","48,799","62,384","86,753","82,279","92,949","86,638","43,891","17,792","3,333",75
경기도 안양시 만안구 (4117100000),"12,390","16,169","26,227","34,976","30,853","38,747","40,468","21,822","9,034","1,538",41
경기도 안양시 동안구 (4117300000),"22,724","32,630","36,157","51,777","51,426","54,202","46,170","22,069","8,758","1,795",34
경기도 부천시 (4119000000),"37,944","61,389","83,311","103,659","109,313","130,814","132,238","64,745","24,837","4,455",107
경기도 부천시 원미구 (4119200000),"19,347","31,564","44,281","54,829","55,907","65,547","65,186","30,664","11,417","2,190",54
경기도 부천시 소사구 (4119400000),"13,080","19,363","22,191","29,840","34,730","36,707","37,869","20,766","7,786","1,350",34
경기도 부천시 오정구 (4119600000),"5,517","10,462","16,839","18,990","18,676","28,560","29,183","13,315","5,634",915,19
경기도 광명시 (4121000000),"19,076","28,068","33,161","44,949","46,818","51,299","43,738","23,882","9,256","1,673",43
경기도 평택시 (4122000000),"46,261","59,045","71,887","100,437","100,739","101,863","76,357","36,632","17,352","3,024",65
경기도 동두천시 (4125000000),"3,481","7,319","8,294","8,239","10,914","15,548","15,566","9,779","5,557",904,17
경기도 안산시 (4127000000),"28,825","51,838","80,120","82,454","83,046","118,585","101,142","39,733","17,456","3,405",96
경기도 안산시 상록구 (4127100000),"13,716","27,715","43,276","40,671","43,047","63,729","53,762","21,337","10,125","1,892",51
